IDtag,RTC_time,,temp,humidity,loadCell,vbat,ElecCond
100,2:34_4/19,,3.24,82.82,0.741805,3.8,210
100,2:39_4/19,,3.1,82.96,0.741838,3.8,210
100,2:44_4/19,,3.24,83.34,0.741608,3.8,200
100,2:49_4/19,,3.14,83.6,0.741537,3.8,214
100,2:54_4/19,,3.3,83.73,0.742111,3.8,214
100,2:59_4/19,,3,83.29,0.741991,3.8,199
100,3:4_4/19,,2.73,83.65,0.741897,3.8,210
100,3:9_4/19,,2.94,84.02,0.743806,3.8,210
100,3:14_4/19,,2.88,83.79,0.742942,3.8,197
100,3:19_4/19,,2.81,84.08,0.743441,3.8,266
100,3:24_4/19,,2.68,83.69,0.743188,3.8,266
100,3:29_4/19,,2.41,83.73,0.743212,3.8,200
100,3:34_4/19,,2.45,84.3,0.74353,3.8,214
100,3:39_4/19,,2.63,84.21,0.743443,3.8,214
100,3:44_4/19,,2.32,84.01,0.742742,3.8,199
100,3:49_4/19,,2.15,83.87,0.742634,3.8,213
100,3:54_4/19,,2.22,83.87,0.742883,3.8,213
100,3:59_4/19,,1.96,84.01,0.742102,3.8,199
100,4:4_4/19,,1.97,84.37,0.742665,3.8,268
100,4:9_4/19,,2.09,84.12,0.742887,3.8,268
100,4:14_4/19,,2.14,84.71,0.743272,3.8,201
100,4:19_4/19,,2.08,84.33,0.743426,3.8,260
100,4:24_4/19,,2,84.41,0.742923,3.8,260
100,4:29_4/19,,1.55,84.21,0.742549,3.8,199
100,4:34_4/19,,1.42,84.38,0.742629,3.8,214
100,4:39_4/19,,1.47,84.47,0.742464,3.8,214
100,4:44_4/19,,1.17,84.46,0.742075,3.8,198
100,4:49_4/19,,1.41,85.19,0.742461,3.8,214
100,4:54_4/19,,1.18,84.78,0.742951,3.8,214
100,4:59_4/19,,1.11,84.78,0.74332,3.8,199
100,5:4_4/19,,1.22,84.81,0.743237,3.8,268
100,5:9_4/19,,0.95,84.79,0.742611,3.8,268
100,5:14_4/19,,0.99,84.91,0.742792,3.8,199
100,5:19_4/19,,0.94,85.28,0.743454,3.8,264
100,5:24_4/19,,0.97,85.06,0.744265,3.8,264
100,5:29_4/19,,1.36,85.56,0.744182,3.8,198
100,5:34_4/19,,1.29,85.12,0.74455,3.8,215
100,5:39_4/19,,0.94,84.98,0.74345,3.8,215
100,5:44_4/19,,0.91,85.42,0.743369,3.8,198
100,5:49_4/19,,0.79,85.36,0.743491,3.8,216
100,5:54_4/19,,0.93,85.69,0.744026,3.8,216
